积分法求π值（N=100000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000.0		1		3.14159265359811490370		4.00			1.00000			100.000			0.83218
100000.0		2		3.14159265359811668006		2.00			2.00000			100.000			0.83236
100000.0		4		3.14159265359812733820		1.00			4.00000			100.000			0.83342
100000.0		8		3.14159265359812733820		1.00			4.00000			50.000			0.83342
100000.0		16		3.14159265359812689411		1.00			4.00000			25.000			0.83338
100000.0		32		3.14159265359812689411		2.00			2.00000			6.250			0.83338
100000.0		64		3.14095255118720606546		6.00			0.66667			1.042			64010240.25871
100000.0		128		3.14095255118720606546		4.00			1.00000			0.781			64010240.25871
100000.0		256		3.13839009223280696048		10.00			0.40000			0.156			320256135.69862
100000.0		512		3.13839009223280607230		26.00			0.15385			0.030			320256135.69870
100000.0		1024		3.12810739404474169589		51.00			0.07843			0.008			1348525954.50514
100000.0		2048		3.10738338600674346424		119.00			0.03361			0.002			3420926758.30497
100000.0		4096		3.10738338600674479650		213.00			0.01878			0.000			3420926758.30483
100000.0		8192		3.10738338600674213197		443.00			0.00903			0.000			3420926758.30510

积分法求π值（N=1000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
1000000.0		1		3.14159265358994677086		11.00			1.00000			100.000			0.01537
1000000.0		2		3.14159265358987971339		5.00			2.20000			110.000			0.00866
1000000.0		4		3.14159265358986772299		5.00			2.20000			55.000			0.00746
1000000.0		8		3.14159265358987305206		4.00			2.75000			34.375			0.00799
1000000.0		16		3.14159265358987660477		4.00			2.75000			17.188			0.00835
1000000.0		32		3.14159265358987616068		4.00			2.75000			8.594			0.00830
1000000.0		64		3.14159265358987571659		8.00			1.37500			2.148			0.00826
1000000.0		128		3.14146464949379078391		8.00			1.37500			1.074			12800409.60023
1000000.0		256		3.14146464949378678710		17.00			0.64706			0.253			12800409.60063
1000000.0		512		3.14146464949379122800		29.00			0.37931			0.074			12800409.60019
1000000.0		1024		3.14044032175017218123		45.00			0.24444			0.024			115233183.96209
1000000.0		2048		3.14044032175017218123		88.00			0.12500			0.006			115233183.96209
1000000.0		4096		3.14044032175017973074		183.00			0.06011			0.001			115233183.96134
1000000.0		8192		3.14044032175017084896		394.00			0.02792			0.000			115233183.96223

积分法求π值（N=10000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
10000000.0		1		3.14159265358965855697		114.00			1.00000			100.000			0.01346
10000000.0		2		3.14159265358989792105		57.00			2.00000			100.000			0.01048
10000000.0		4		3.14159265358977002336		47.00			2.42553			60.638			0.00231
10000000.0		8		3.14159265358980821503		36.00			3.16667			39.583			0.00151
10000000.0		16		3.14159265358979622462		35.00			3.25714			20.357			0.00031
10000000.0		32		3.14159265358978645466		36.00			3.16667			9.896			0.00067
10000000.0		64		3.14159265358979578053		34.00			3.35294			5.239			0.00027
10000000.0		128		3.14159265358979400418		40.00			2.85000			2.227			0.00009
10000000.0		256		3.14156705342595365948		53.00			2.15094			0.840			2560016.38395
10000000.0		512		3.14156705342595055086		72.00			1.58333			0.309			2560016.38426
10000000.0		1024		3.14146464949370685105		87.00			1.31034			0.128			12800409.60863
10000000.0		2048		3.14125982589929853006		132.00			0.86364			0.042			33282769.04946
10000000.0		4096		3.14125982589928742783		238.00			0.47899			0.012			33282769.05057
10000000.0		8192		3.14044032175009224517		429.00			0.26573			0.003			115233183.97009

积分法求π值（N=100000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000000.0		1		3.14159265358938899482		1143.00			1.00000			100.000			0.04041
100000000.0		2		3.14159265359022743525		596.00			1.91779			95.889			0.04343
100000000.0		4		3.14159265358977890514		443.00			2.58014			64.503			0.00142
100000000.0		8		3.14159265358988815109		352.00			3.24716			40.589			0.00950
100000000.0		16		3.14159265358976691473		315.00			3.62857			22.679			0.00262
100000000.0		32		3.14159265358979178373		304.00			3.75987			11.750			0.00013
100000000.0		64		3.14159265358979888916		297.00			3.84848			6.013			0.00058
100000000.0		128		3.14159265358979222782		297.00			3.84848			3.007			0.00009
100000000.0		256		3.14159265358979977734		303.00			3.77228			1.474			0.00067
100000000.0		512		3.14158753358324105420		331.00			3.45317			0.674			512000.65521
100000000.0		1024		3.14158753358324238647		396.00			2.88636			0.282			512000.65507
100000000.0		2048		3.14158753358324149829		519.00			2.20231			0.108			512000.65516
100000000.0		4096		3.14158753358324371874		753.00			1.51793			0.037			512000.65494
100000000.0		8192		3.14158753358323084015		897.00			1.27425			0.016			512000.65623

积分法求π值（N=1000000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
1000000000.0		1		3.14159265358962613846		11592.00			1.00000			100.000			0.01670
1000000000.0		2		3.14159265358959860492		5758.00			2.01320			100.660			0.01945
1000000000.0		4		3.14159265358972650262		3780.00			3.06667			76.667			0.00666
1000000000.0		8		3.14159265358981043548		3760.00			3.08298			38.537			0.00173
1000000000.0		16		3.14159265358980421823		3165.00			3.66256			22.891			0.00111
1000000000.0		32		3.14159265358982642269		3291.00			3.52233			11.007			0.00333
1000000000.0		64		3.14159265358980821503		3086.00			3.75632			5.869			0.00151
1000000000.0		128		3.14159265358979222782		3032.00			3.82322			2.987			0.00009
1000000000.0		256		3.14159265358979533644		3009.00			3.85244			1.505			0.00022
1000000000.0		512		3.14159265358978956328		2923.00			3.96579			0.775			0.00036
1000000000.0		1024		3.14159162958953164235		3020.00			3.83841			0.375			102400.02615
1000000000.0		2048		3.14159162958953563916		3880.00			2.98763			0.146			102400.02575
1000000000.0		4096		3.14158753358324549509		3601.00			3.21911			0.079			512000.65476
1000000000.0		8192		3.14158753358322773153		4361.00			2.65811			0.032			512000.65654

