概率法求π值（N=100000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000.0		1		3.14158265358971977577		3.00			1.00000			100.000			1000000.00733
100000.0		2		3.14158265358977972781		1.00			3.00000			150.000			1000000.00134
100000.0		4		3.14158265358978727733		2.00			1.50000			37.500			1000000.00058
100000.0		8		3.14158265358977795145		3.00			1.00000			12.500			1000000.00152
100000.0		16		3.14158265358978860959		1.00			3.00000			18.750			1000000.00045
100000.0		32		3.14158265358979305049		8.00			0.37500			1.172			1000000.00001
100000.0		64		3.14158265038876916009		10.00			0.30000			0.469			1000320.10240
100000.0		128		3.14158265038877138053		5.00			0.60000			0.469			1000320.10217
100000.0		256		3.14158263756415845336		21.00			0.14286			0.056			1001602.56347
100000.0		512		3.14158263756415179202		37.00			0.08108			0.016			1001602.56413
100000.0		1024		3.14158258593515693491		84.00			0.03571			0.003			1006765.46362
100000.0		2048		3.14158248106374626829		229.00			0.01310			0.001			1017252.60468
100000.0		4096		3.14158248106374493602		348.00			0.00862			0.000			1017252.60482
100000.0		8192		3.14158248106375204145		814.00			0.00369			0.000			1017252.60411

概率法求π值（N=1000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
1000000.0		1		3.14159165358977432447		8.00			1.00000			100.000			100000.00188
1000000.0		2		3.14159165358969216797		10.00			0.80000			40.000			100000.01009
1000000.0		4		3.14159165358978098581		4.00			2.00000			50.000			100000.00121
1000000.0		8		3.14159165358972769511		5.00			1.60000			20.000			100000.00654
1000000.0		16		3.14159165358976455451		5.00			1.60000			10.000			100000.00286
1000000.0		32		3.14159165358979386440		6.00			1.33333			4.167			99999.99993
1000000.0		64		3.14159165358978631488		7.00			1.14286			1.786			100000.00068
1000000.0		128		3.14159165352578151342		16.00			0.50000			0.391			100006.40116
1000000.0		256		3.14159165352579616837		26.00			0.30769			0.120			100006.39969
1000000.0		512		3.14159165352578506614		35.00			0.22857			0.045			100006.40080
1000000.0		1024		3.14159165301346288146		63.00			0.12698			0.012			100057.63302
1000000.0		2048		3.14159165301346154919		120.00			0.06667			0.003			100057.63316
1000000.0		4096		3.14159165301345000287		257.00			0.03113			0.001			100057.63431
1000000.0		8192		3.14159165301346421373		502.00			0.01594			0.000			100057.63289

概率法求π值（N=10000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
10000000.0		1		3.14159255358979150330		80.00			1.00000			100.000			10000.00016
10000000.0		2		3.14159255358977951289		40.00			2.00000			100.000			10000.00136
10000000.0		4		3.14159255358974265349		40.00			2.00000			50.000			10000.00505
10000000.0		8		3.14159255358983235951		30.00			2.66667			33.333			9999.99608
10000000.0		16		3.14159255358969069505		30.00			2.66667			16.667			10000.01024
10000000.0		32		3.14159255358980082917		28.00			2.85714			8.929			9999.99923
10000000.0		64		3.14159255358973021899		32.00			2.50000			3.906			10000.00629
10000000.0		128		3.14159255358975020300		47.00			1.70213			1.330			10000.00429
10000000.0		256		3.14159255358851519091		47.00			1.70213			0.665			10000.12779
10000000.0		512		3.14159255358852007589		79.00			1.01266			0.198			10000.12730
10000000.0		1024		3.14159255358338551645		94.00			0.85106			0.083			10000.64076
10000000.0		2048		3.14159255357314926016		237.00			0.33755			0.016			10001.66439
10000000.0		4096		3.14159255357314615154		376.00			0.21277			0.005			10001.66470
10000000.0		8192		3.14159255353216293472		511.00			0.15656			0.002			10005.76302

概率法求π值（N=100000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000000.0		1		3.14159264358932599492		959.00			1.00000			100.000			1000.04671
100000000.0		2		3.14159264359025058866		402.00			2.38557			119.279			999.95425
100000000.0		4		3.14159264358981715759		302.00			3.17550			79.387			999.99760
100000000.0		8		3.14159264358987933008		238.00			4.02941			50.368			999.99138
100000000.0		16		3.14159264358989620547		225.00			4.26222			26.639			999.98969
100000000.0		32		3.14159264358966483499		226.00			4.24336			13.261			1000.01283
100000000.0		64		3.14159264358987311283		227.00			4.22467			6.601			999.99200
100000000.0		128		3.14159264358970569120		217.00			4.41935			3.453			1000.00874
100000000.0		256		3.14159264358975098830		219.00			4.37900			1.711			1000.00421
100000000.0		512		3.14159264358975320874		265.00			3.61887			0.707			1000.00399
100000000.0		1024		3.14159264358968881581		358.00			2.67877			0.262			1000.01043
100000000.0		2048		3.14159264358975809373		378.00			2.53704			0.124			1000.00350
