幂级数法求π值（N=100000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000.0		1		3.14158265358971977577		3.00			1.00000			100.000			1000000.00733
100000.0		2		3.14158265358977972781		1.00			3.00000			150.000			1000000.00134
100000.0		4		3.14158265358978727733		1.00			3.00000			75.000			1000000.00058
100000.0		8		3.14158265358977795145		1.00			3.00000			37.500			1000000.00152
100000.0		16		3.14158265358978860959		2.00			1.50000			9.375			1000000.00045
100000.0		32		3.14158265358979305049		2.00			1.50000			4.688			1000000.00001
100000.0		64		3.14158265038876916009		3.00			1.00000			1.562			1000320.10240
100000.0		128		3.14158265038877138053		5.00			0.60000			0.469			1000320.10217
100000.0		256		3.14158263756415845336		10.00			0.30000			0.117			1001602.56347
100000.0		512		3.14158263756415179202		22.00			0.13636			0.027			1001602.56413
100000.0		1024		3.14158258593515693491		49.00			0.06122			0.006			1006765.46362
100000.0		2048		3.14158248106374626829		114.00			0.02632			0.001			1017252.60468
100000.0		4096		3.14158248106374493602		219.00			0.01370			0.000			1017252.60482
100000.0		8192		3.14158248106375026509		446.00			0.00673			0.000			1017252.60429

幂级数法求π值（N=1000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
1000000.0		1		3.14159165358977432447		8.00			1.00000			100.000			100000.00188
1000000.0		2		3.14159165358969216797		4.00			2.00000			100.000			100000.01009
1000000.0		4		3.14159165358978098581		4.00			2.00000			50.000			100000.00121
1000000.0		8		3.14159165358972769511		3.00			2.66667			33.333			100000.00654
1000000.0		16		3.14159165358976455451		3.00			2.66667			16.667			100000.00286
1000000.0		32		3.14159165358979386440		3.00			2.66667			8.333			99999.99993
1000000.0		64		3.14159165358978631488		5.00			1.60000			2.500			100000.00068
1000000.0		128		3.14159165352578151342		8.00			1.00000			0.781			100006.40116
1000000.0		256		3.14159165352579616837		13.00			0.61538			0.240			100006.39969
1000000.0		512		3.14159165352578506614		28.00			0.28571			0.056			100006.40080
1000000.0		1024		3.14159165301346288146		43.00			0.18605			0.018			100057.63302
1000000.0		2048		3.14159165301346154919		119.00			0.06723			0.003			100057.63316
1000000.0		4096		3.14159165301345000287		293.00			0.02730			0.001			100057.63431
1000000.0		8192		3.14159165301346421373		420.00			0.01905			0.000			100057.63289

幂级数法求π值（N=10000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
10000000.0		1		3.14159255358979150330		80.00			1.00000			100.000			10000.00016
10000000.0		2		3.14159255358977951289		40.00			2.00000			100.000			10000.00136
10000000.0		4		3.14159255358974265349		31.00			2.58065			64.516			10000.00505
10000000.0		8		3.14159255358983235951		29.00			2.75862			34.483			9999.99608
10000000.0		16		3.14159255358969069505		25.00			3.20000			20.000			10000.01024
10000000.0		32		3.14159255358980082917		25.00			3.20000			10.000			9999.99923
10000000.0		64		3.14159255358973021899		26.00			3.07692			4.808			10000.00629
10000000.0		128		3.14159255358975020300		32.00			2.50000			1.953			10000.00429
10000000.0		256		3.14159255358851519091		41.00			1.95122			0.762			10000.12779
10000000.0		512		3.14159255358852007589		48.00			1.66667			0.326			10000.12730
10000000.0		1024		3.14159255358338551645		72.00			1.11111			0.109			10000.64076
10000000.0		2048		3.14159255357314926016		134.00			0.59701			0.029			10001.66439
10000000.0		4096		3.14159255357314615154		264.00			0.30303			0.007			10001.66470
10000000.0		8192		3.14159255353216293472		1439.00			0.05559			0.001			10005.76302

幂级数法求π值（N=100000000.0)
N			Thread_Num	PI(运算结果)			Cost Time(ms)		Speed_up		Effciency(in %)		Imprecision(1/10e+11)
100000000.0		1		3.14159264358932599492		810.00			1.00000			100.000			1000.04671
100000000.0		2		3.14159264359025058866		729.00			1.11111			55.556			999.95425
100000000.0		4		3.14159264358981715759		370.00			2.18919			54.730			999.99760
100000000.0		8		3.14159264358987977417		293.00			2.76451			34.556			999.99133
100000000.0		16		3.14159264358989620547		597.00			1.35678			8.480			999.98969
100000000.0		32		3.14159264358966483499		268.00			3.02239			9.445			1000.01283
100000000.0		64		3.14159264358987355692		216.00			3.75000			5.859			999.99196
100000000.0		128		3.14159264358970569120		221.00			3.66516			2.863			1000.00874
100000000.0		256		3.14159264358975054421		238.00			3.40336			1.329			1000.00426
100000000.0		512		3.14159264358975320874		254.00			3.18898			0.623			1000.00399
100000000.0		1024		3.14159264358968881581		1414.00			0.57284			0.056			1000.01043
100000000.0		2048		3.14159264358975809373		305.00			2.65574			0.130			1000.00350
