直角划分方法实现矩阵转置（N=256)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
256			1			0			-nan			-nan
256			2			0			-nan			-nan
256			4			0			-nan			-nan
256			8			0			-nan			-nan
256			16			0			-nan			-nan
256			32			1			0.00000			0.000
256			64			3			0.00000			0.000
256			128			12			0.00000			0.000

直角划分方法实现矩阵转置（N=512)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
512			1			2			1.00000			100.000
512			2			3			0.66667			33.333
512			4			1			2.00000			50.000
512			8			5			0.40000			5.000
512			16			0			inf			inf
512			32			5			0.40000			1.250
512			64			4			0.50000			0.781
512			128			18			0.11111			0.087

直角划分方法实现矩阵转置（N=1024)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
1024			1			17			1.00000			100.000
1024			2			23			0.73913			36.957
1024			4			13			1.30769			32.692
1024			8			12			1.41667			17.708
1024			16			3			5.66667			35.417
1024			32			3			5.66667			17.708
1024			64			9			1.88889			2.951
1024			128			24			0.70833			0.553

直角划分方法实现矩阵转置（N=2048)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
2048			1			87			1.00000			100.000
2048			2			113			0.76991			38.496
2048			4			53			1.64151			41.038
2048			8			28			3.10714			38.839
2048			16			12			7.25000			45.312
2048			32			7			12.42857			38.839
2048			64			8			10.87500			16.992
2048			128			11			7.90909			6.179

直角划分方法实现矩阵转置（N=4096)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
4096			1			409			1.00000			100.000
4096			2			566			0.72261			36.131
4096			4			235			1.74043			43.511
4096			8			111			3.68468			46.059
4096			16			59			6.93220			43.326
4096			32			28			14.60714			45.647
4096			64			16			25.56250			39.941
4096			128			14			29.21428			22.824

直角划分方法实现矩阵转置（N=8192)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
8192			1			2633			1.00000			100.000
8192			2			3261			0.80742			40.371
8192			4			1416			1.85946			46.487
8192			8			647			4.06955			50.869
8192			16			307			8.57655			53.603
8192			32			150			17.55333			54.854
8192			64			77			34.19481			53.429
8192			128			46			57.23913			44.718

直角划分方法实现矩阵转置（N=16384)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
16384			1			12241			1.00000			100.000
16384			2			15244			0.80300			40.150
16384			4			6680			1.83249			45.812
16384			8			3072			3.98470			49.809
16384			16			1469			8.33288			52.080
16384			32			707			17.31400			54.106
16384			64			351			34.87465			54.492
16384			128			180			68.00555			53.129

直角划分方法实现矩阵转置（N=32768)
N			Thread_Num		Cost Time(ms)		Speed_up		Effciency(in %)
32768			1			88726			1.00000			100.000
32768			2			82990			1.06912			53.456
32768			4			46382			1.91294			47.824
32768			8			20521			4.32367			54.046
32768			16			17952			4.94240			30.890
32768			32			4086			21.71464			67.858
32768			64			1789			49.59531			77.493
32768			128			794			111.74559			87.301

