N           Process_Num     Cost Time(ms)       Speed_up        Effciency(in %)
16		4		0.83113		0.00373		0.093
16		9		1.32012		0.00235		0.026
16		16		0.61798		0.00502		0.031
16		25		0.73099		0.00424		0.017
16		36		1.08004		0.00287		0.008
16		49		1.77693		0.00174		0.004
16		64		3.78203		0.00082		0.001
16		81		5.72085		0.00054		0.001
16		100		5.24592		0.00059		0.001
16		121		6.44803		0.00048		0.000
16		144		14.30011		0.00022		0.000
16		169		12.55894		0.00025		0.000
16		196		18.85605		0.00016		0.000
16		225		18.53991		0.00017		0.000
16		256		30.58505		0.00010		0.000
 
 
32		4		0.36097		0.01718		0.429
32		9		0.34881		0.01777		0.197
32		16		0.26083		0.02377		0.149
32		25		1.50394		0.00412		0.016
32		36		2.01082		0.00308		0.009
32		49		2.85697		0.00217		0.004
32		64		3.41296		0.00182		0.003
32		81		5.63908		0.00110		0.001
32		100		4.70400		0.00132		0.001
32		121		7.07889		0.00088		0.001
32		144		9.92894		0.00062		0.000
32		169		12.30407		0.00050		0.000
32		196		19.58704		0.00032		0.000
32		225		19.20986		0.00032		0.000
32		256		25.40016		0.00024		0.000
 
 
64		4		1.04094		0.02313		0.578
64		9		0.23413		0.10285		1.143
64		16		0.47302		0.05091		0.318
64		25		1.22309		0.01969		0.079
64		36		1.87302		0.01286		0.036
64		49		3.34096		0.00721		0.015
64		64		3.38507		0.00711		0.011
64		81		5.48291		0.00439		0.005
64		100		8.11505		0.00297		0.003
64		121		10.68211		0.00225		0.002
64		144		15.83219		0.00152		0.001
64		169		20.88213		0.00115		0.001
64		196		22.80903		0.00106		0.001
64		225		27.66299		0.00087		0.000
64		256		40.79580		0.00059		0.000
 
 
128		4		1.62315		0.06213		1.553
128		9		0.92411		0.10913		1.213
128		16		1.52707		0.06604		0.413
128		25		2.16699		0.04654		0.186
128		36		2.53010		0.03986		0.111
128		49		7.11513		0.01417		0.029
128		64		7.54094		0.01337		0.021
128		81		11.23214		0.00898		0.011
128		100		13.58509		0.00742		0.007
128		121		15.77210		0.00639		0.005
128		144		18.81313		0.00536		0.004
128		169		157.39608		0.00064		0.000
128		196		35.41613		0.00285		0.001
128		225		45.77112		0.00220		0.001
128		256		40.93695		0.00246		0.001
 
 
256		4		1.34611		0.36327		9.082
256		9		1.59907		0.30580		3.398
256		16		6.79684		0.07195		0.450
256		25		11.41691		0.04283		0.171
256		36		11.73496		0.04167		0.116
256		49		20.16497		0.02425		0.049
256		64		27.39406		0.01785		0.028
256		81		32.62305		0.01499		0.019
256		100		32.69291		0.01496		0.015
256		121		40.86208		0.01197		0.010
256		144		49.94297		0.00979		0.007
256		169		67.22093		0.00727		0.004
256		196		72.99995		0.00670		0.003
256		225		272.18509		0.00180		0.001
256		256		99.26391		0.00493		0.002
 
 
512		4		30.91598		0.07757		1.939
512		9		7.86400		0.30494		3.388
512		16		40.17019		0.05970		0.373
512		25		39.01505		0.06146		0.246
512		36		54.90088		0.04368		0.121
512		49		73.51899		0.03262		0.067
512		64		115.77320		0.02071		0.032
512		81		142.07006		0.01688		0.021
512		100		155.04885		0.01547		0.015
512		121		188.81893		0.01270		0.010
512		144		195.05000		0.01229		0.009
512		169		270.74885		0.00886		0.005
512		196		265.44404		0.00903		0.005
512		225		283.57792		0.00846		0.004
512		256		356.47917		0.00673		0.003
 
 
1024		4		138.51810		1.04960		26.240
1024		9		79.25105		1.83454		20.384
1024		16		148.15593		0.98132		6.133
1024		25		223.98496		0.64910		2.596
1024		36		317.15608		0.45841		1.273
1024		49		442.69490		0.32842		0.670
1024		64		530.62391		0.27400		0.428
1024		81		507.78699		0.28632		0.353
1024		100		311.33103		0.46699		0.467
1024		121		710.30283		0.20469		0.169
1024		144		391.86883		0.37101		0.258
1024		169		491.36305		0.29589		0.175
1024		196		551.71204		0.26352		0.134
1024		225		1308.94613		0.11107		0.049
1024		256		723.27805		0.20101		0.079
 
 
2048		4		471.39096		1.83293		45.823
2048		9		428.41506		2.01680		22.409
2048		16		371.28210		2.32715		14.545
2048		25		533.83803		1.61852		6.474
2048		36		661.30996		1.30654		3.629
2048		49		972.18704		0.88875		1.814
2048		64		1178.45297		0.73319		1.146
2048		81		1815.75584		0.47585		0.587
2048		100		1868.70718		0.46237		0.462
2048		121		2521.97003		0.34260		0.283
2048		144		3600.17991		0.24000		0.167
2048		169		5681.67615		0.15207		0.090
2048		196		7886.28101		0.10956		0.056
2048		225		8740.35597		0.09886		0.044
2048		256		12054.56090		0.07168		0.028
 
 
4096		4		2048.04516		2.61772		65.443
4096		9		1521.67082		3.52324		39.147
4096		16		1724.36786		3.10908		19.432
4096		25		2117.92493		2.53135		10.125
4096		36		2460.86407		2.17859		6.052
4096		49		3168.01095		1.69229		3.454
4096		64		3718.97292		1.44158		2.252
4096		81		4677.68693		1.14612		1.415
4096		100		5558.31909		0.96454		0.965
4096		121		7128.10111		0.75212		0.622
4096		144		9405.14994		0.57003		0.396
4096		169		12344.19799		0.43431		0.257
4096		196		16474.97702		0.32541		0.166
4096		225		21528.20992		0.24903		0.111
4096		256		24762.00294		0.21651		0.085
 
 
