N           Process_Num     Cost Time(ms)       Speed_up        Effciency(in %)
16		4		0.81205		0.00235		0.059
16		16		0.44703		0.00427		0.027
16		64		4.33612		0.00044		0.001
16		256		63.99083		0.00003		0.000
 
 
32		4		0.13399		0.02314		0.578
32		16		0.81992		0.00378		0.024
32		64		10.88715		0.00028		0.000
32		256		158.45799		0.00002		0.000
 
 
64		4		0.91600		0.00963		0.241
64		16		4.13013		0.00214		0.013
64		64		31.33607		0.00028		0.000
64		256		437.26110		0.00002		0.000
 
 
128		4		1.89614		0.01584		0.396
128		16		13.02505		0.00231		0.014
128		64		287.34899		0.00010		0.000
128		256		8506.07181		0.00000		0.000
 
 
256		4		3.89600		0.05134		1.284
256		16		60.81104		0.00329		0.021
256		64		666.76307		0.00030		0.000
256		256		17231.24313		0.00001		0.000
 
 
512		4		75.57487		0.01332		0.333
512		16		259.03106		0.00389		0.024
512		64		2042.81402		0.00049		0.001
512		256		41955.49679		0.00002		0.000
 
 
